cve,epss,ranking_epss
CVE-2025-24033,0.00203,0.42746
CVE-2015-4411,0.0308,0.86263
CVE-2022-24433,0.00927,0.75292
CVE-2020-28481,0.00189,0.4113
CVE-2025-58751,0.00023,0.04548
CVE-2021-39184,0.00366,0.57885
CVE-2025-8101,0.00065,0.20761
CVE-2023-26159,0.00079,0.24376
CVE-2025-46653,8e-05,0.00457
CVE-2024-28244,0.00179,0.39938
CVE-2024-28849,0.00216,0.44273
CVE-2023-5561,0.59162,0.98182
CVE-2023-45819,0.0284,0.85713
CVE-2021-3801,0.0028,0.51085
CVE-2021-37712,0.00023,0.04655
CVE-2025-8022,,
CVE-2017-18214,0.00322,0.54731
CVE-2025-32997,0.00037,0.10327
CVE-2024-53262,0.00041,0.1209
CVE-2022-37257,0.00485,0.64469
CVE-2019-11003,0.00223,0.4503
CVE-2021-29438,0.00224,0.45096
